"Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT","Month"
0.0184427778961623,0,0.0149199997942778,0.0303030303030303,0.0244123804907229,0.019968977187265,0.00110079376965703,0.0608990373906605,0.000112834978843441,NA,0.0339676411104983,0.0676158223328035,0.0977242806093662,0.0111140628298588,0.0111828893823645,0.0111975337077656,0.0560117602598018,0.0178839141004862,NA,0.0443797509299693,0.0303852867477279,0.0551295433473091,0.0637484981449199,NA,0.0571527928896626,NA,0.0153023059160243,0.06292374495315,0.029138168491328,0.0586800921104739,NA,"Jan"
0.0520769606192044,0,0.0344430329618334,0.141858141858142,0.0123041698037315,0.0418847142140887,0.00710648494833009,0.077014767233958,0.0123554301833568,NA,0.0346532757247043,0.0710945239247126,0.102745909347376,0.0270987982913252,0.0310995888096731,0.0217217979837352,0.0539716498312185,0.0441534981091302,NA,0.0586284974931263,0.0583765992746526,0.0615381923994239,0.0625847669186983,NA,0.0574685423893703,NA,0.0451751390379549,0.059419517025977,0.0385659095683839,0.0731420232036258,NA,"Feb"
0.0932060279860963,0,0.0392517884970453,0.0599400599400599,0.0239379531554575,0.0669184006016545,0.0665568369028007,0.0686649288728621,0.0683941164618175,NA,0.071509009009009,0.0826287618740449,0.208425804024826,0.0571187880489734,0.107993242453542,0.0474123420917418,0.0654885055630641,0.0669064019448947,NA,0.123467572375869,0.0908368624329397,0.0808632724346452,0.0600543829628993,NA,0.0813609656814429,NA,0.0882687741893518,0.0496305324902872,0.0774119377203016,0.10872849411109,NA,"Mar"
0.127914836480452,0.0487619047619048,0.0477738290551695,0.126207126207126,0.135830608814035,0.0899857420406117,0.163527781937996,0.104357929336408,0.130469474108402,NA,0.10937212722927,0.0767157370930956,0.162666917434644,0.0678833584004962,0.202041076532401,0.099041476940522,0.0754104240995651,0.140243449486764,NA,0.0850881449134724,0.11654898032499,0.0912663933709261,0.0804692300214342,NA,0.0919919099857913,NA,0.155901388753374,0.0780833396815723,0.128705735427998,0.116625598302508,NA,"Apr"
0.166275997809505,0.107333333333333,0.0476709679742024,0.269064269064269,0.193638548252354,0.153053710203058,0.0948292646398083,0.0916676198445618,0.141438645980254,NA,0.107748054176626,0.0858924443830104,0.124938875305623,0.0924670229604437,0.21503022833282,0.12332051759064,0.0941717535982168,0.179504321988115,NA,0.12078279152515,0.120485771057955,0.0973309930198791,0.0982489289991817,NA,0.0997939094481637,NA,0.130695677627086,0.110459358573932,0.102024440346413,0.124596038858495,NA,"May"
0.0953025793309824,0.203914285714286,0.0659750973322979,0.207126207126207,0.200043317278437,0.140358642516922,0.205208177325146,0.12806496860533,0.146927261736853,NA,0.165697585340442,0.0978106449804563,0.0429189392514576,0.133685923432865,0.241762912120021,0.147091653230807,0.106550131630359,0.220397757968666,NA,0.12747857027333,0.138544922792095,0.114807536431333,0.103112438333099,NA,0.102479913638245,NA,0.103050704133737,0.102841471775729,0.103918158687178,0.116615820120565,NA,"Jun"
0.14284274031863,0.202209523809524,0.117935372382828,0.0719280719280719,0.129498035252014,0.0972518174981198,0.199822150666467,0.107175322525299,0.152609308885755,NA,0.142313231598946,0.113453283264604,0.0692307692307692,0.15834231475131,0.134194672588374,0.167579123922917,0.106479672557472,0.116048757428417,NA,0.159987061297105,0.132191798178731,0.142529754442028,0.107617295707597,NA,0.106091831901793,NA,0.0849351156210362,0.116020415936619,0.101362076612433,0.10988231958032,NA,"Jul"
0.124757407241924,0.248238095238095,0.106600081260254,0.01998001998002,0.0917398075475201,0.114392704938581,0.166736558334581,0.105555923448778,0.13771509167842,NA,0.133166329594901,0.0920435260057902,0.0696069211961633,0.145172710900024,0.0428668572096433,0.151727762914666,0.100375354697378,0.0867335224203133,NA,0.151301956978813,0.106709239458538,0.109151130989521,0.11376157006502,NA,0.0892739041572262,NA,0.116401600156113,0.109811838196084,0.0994012465276967,0.113215457350015,NA,"Aug"
0.0709780011044128,0.166504761904762,0.164413151817812,0.0186480186480186,0.0755989645107726,0.0886696227124593,0.0761213868503819,0.0866348405584218,0.123626838605682,NA,0.0775418275418275,0.0893634667219573,0.104024826029716,0.138718211083356,0.0106250730473772,0.0810640019371261,0.0969068467002735,0.0425411939492166,NA,0.0809639333656801,0.0915434276761904,0.0851376489179938,0.0962376465635951,NA,0.0971164390283449,NA,0.0907568218037532,0.0886341128970824,0.0931306753192185,0.0890425693150872,NA,"Sep"
0.0498108521163712,0.0177809523809524,0.192082782597962,0.0213120213120213,0.0696376819067853,0.0713132990724492,0.00756514901902052,0.0688455310003552,0.0830143058633891,NA,0.0573826377397806,0.0825980448621958,0.00137295467368817,0.0779216712609103,0,0.0437566071945335,0.0997220069306106,0.0343057806591032,NA,0.0229985443959243,0.0545024155885584,0.0692880509892878,0.0820208716563963,NA,0.0940656161595474,NA,0.0499886167756204,0.0868058200655138,0.0761630757020472,0.0416880564396662,NA,"Oct"
0.0256581223606939,0.00525714285714286,0.0957688094344183,0.014985014985015,0.0315081632442579,0.0617009275507646,0.00436011681893066,0.0563538838487517,0.00302236550473504,NA,0.0367829564258136,0.0682608795816343,0.00882076358848975,0.0404077950963983,0,0.0430479025294851,0.075215060306561,0.0173841842247434,NA,0.00566068251657771,0.0317223943916011,0.0486684121828477,0.062942475057172,NA,0.0671351706540708,NA,0.116547955898136,0.0737411442065971,0.0574155559186722,0.0105922155893555,NA,"Nov"
0.0327336967355664,0,0.0731650868918981,0.0186480186480186,0.0118503697439124,0.0545014414640261,0.00706529878688034,0.0447652473346136,0.000314326012492444,NA,0.0298653245081817,0.0725228649756952,0.00752303930788038,0.0500693429440398,0.00320345952378423,0.0630392799560603,0.0696968338254793,0.0338972177201513,NA,0.019262493934983,0.0281523020760199,0.0442890714748057,0.0692018955699876,NA,0.0560690040663415,NA,0.00297590008781345,0.0616287041974556,0.0927630196783305,0.0371913150187986,NA,"Dec"
