"datetime","MDE_ele","PLS_ele","PLS_pumping","PLS_hydrorelease","CAP_div","CAP_losses"
2013-01-01,1122.32,"1690.19981160006",54064,24714,81083,739
2013-02-01,1122.14,"1693.66",89116,0,146057,1283
2013-03-01,1118.59,"1696.7",66664,0,178756,2185
2013-04-01,1112.91,"1696.11085484296",316,34341,150717,2959
2013-05-01,1108.36,"1693.78",0,20589,176183,3425
2013-06-01,1105.98,"1681.1",0,78357,130223,3464
2013-07-01,1105.92,"1671.66997253111",0,94386,84931,3382
2013-08-01,1106.13,"1661.27981884528",0,87700,96915,2663
2013-09-01,1106.92,"1659.68",27530,371,149998,2559
2013-10-01,1104.04,"1666.27",78545,0,187598,2343
2013-11-01,1106.36,"1674.31",80601,0,144410,1892
2013-12-01,1106.73,"1677.0298820349",43033,0,137651,1423
2014-01-01,1108.75,"1690.19981160006",54111,26551,82943,739
2014-02-01,1107.94,"1693.66",52725,0,129457,1283
2014-03-01,1101.71,"1696.7",48127,0,175427,2185
2014-04-01,1094.55,"1696.11085484296",9835,359,177805,2959
2014-05-01,1087.46,"1693.78",1525,9966,183495,3425
2014-06-01,1082.66,"1681.1",0,64683,135338,3464
2014-07-01,1080.6,"1671.66997253111",0,93862,95293,3382
2014-08-01,1081.55,"1661.27981884528",0,67548,101705,2663
2014-09-01,1081.33,"1659.68",27580,5520,139946,2559
2014-10-01,1082.79,"1666.27",5000,0,119736,2343
2014-11-01,1083.57,"1674.31",48000,0,135762,1892
2014-12-01,1087.79,"1677.0298820349",40000,0,113757,1423
2015-01-01,1088.51,"1690.19981160006",115675,0,175142,739
2015-02-01,1088.98,"1693.66",24605,260,109033,1283
2015-03-01,1084.87,"1696.7",11698,6159,144761,2185
2015-04-01,1079.03,"1696.11085484296",1058,34505,155376,2959
2015-05-01,1076.57,"1693.78",36939,3516,176442,3425
2015-06-01,1075.08,"1681.1",375,83579,81465,3464
2015-07-01,1078.15,"1671.66997253111",0,87950,73014,3382
2015-08-01,1078.31,"1661.27981884528",0,97320,70573,2663
2015-09-01,1078.1,"1659.68",41077,2011,164863,2559
2015-10-01,1078.99,"1666.27",27691,10146,117898,2343
2015-11-01,1078.23,"1674.31",48256,0,117023,1892
2015-12-01,1080.91,"1677.0298820349",47232,0,128303,1423
2016-01-01,1083.68,"1690.19981160006",108452,0,152339,739
2016-02-01,1084.17,"1693.66",32889,0,113951,1283
2016-03-01,1080.45,"1696.7",4539,10501,122458,2185
2016-04-01,1076.13,"1696.11085484296",28044,0,167054,2959
2016-05-01,1073.8,"1693.78",12390,0,178122,3425
2016-06-01,1071.64,"1681.1",0,112673,91636,3464
2016-07-01,1072.75,"1671.66997253111",0,119947,77423,3382
2016-08-01,1075.17,"1661.27981884528",0,87736,67691,2663
2016-09-01,1075.23,"1659.68",19406,22496,131247,2559
2016-10-01,1076.34,"1666.27",40011,1165,133437,2343
2016-11-01,1076.55,"1674.31",74729,0,138414,1892
2016-12-01,1080.82,"1677.0298820349",52389,0,117193,1423
2017-01-01,1086.08,"1690.19981160006",83310,3647,124543,739
2017-02-01,1089.78,"1693.66",16480,7866,60202,1283
2017-03-01,1088.26,"1696.7",20055,207,135647,2185
2017-04-01,1084.89,"1696.11085484296",9498,6,160153,2959
2017-05-01,1081.56,"1693.78",24625,1492,176014,3425
2017-06-01,1079.52,"1681.1",0,117578,82750,3464
2017-07-01,1079.03,"1671.66997253111",0,100321,75396,3382
2017-08-01,1081.44,"1661.27981884528",0,94421,72195,2663
2017-09-01,1082.05,"1659.68",9609,13817,132719,2559
2017-10-01,1082.3,"1666.27",44152,0,129581,2343
2017-11-01,1080.95,"1674.31",65541,0,126981,1892
2017-12-01,1082.52,"1677.0298820349",70977,76,141369,1423
2018-01-01,1087.5,"1690.19981160006",42045,4721,89713,739
2018-02-01,1088.21,"1693.66",51021,14510,107144,1283
2018-03-01,1088.11,"1696.7",46045,18985,137595,2185
2018-04-01,1084.49,"1696.11085484296",10279,6618,168653,2959
2018-05-01,1080,"1693.78",4059,4883,179408,3425
2018-06-01,1076.81,"1681.1",0,106895,92075,3464
2018-07-01,1077.43,"1671.66997253111",0,118035,78705,3382
2018-08-01,1078.88,"1661.27981884528",0,157144,28360,2663
2018-09-01,1078.29,"1659.68",17967,7983,165276,2559
2018-10-01,1078.52,"1666.27",94204,0,175198,2343
2018-11-01,1078.32,"1674.31",80702,109,171224,1892
2018-12-01,1081.46,"1677.0298820349",79076,0,142444,1423
2019-01-01,1085.75,"1681.77983696955",62928,18404,87341,739
2019-02-01,1087.97,"1685.55674243701",99729,0,151380,1283
2019-03-01,1090.24,"1690.32399805573",62,127,82742,2185
2019-04-01,1088.95,"1692.89299556666",11000,13494,147663,2959
2019-05-01,1086.48,"1694.64789150632",18293,15508,152805,3425
2019-06-01,1084.71,"1684.27385660221",1475,84160,106823,3464
2019-07-01,1082.82,"1671.22418094989",0,93396,97804,3382
2019-08-01,1083.45,"1657.97258087764",29,75286,103954,2663
2019-09-01,1083,"1656.02484835986",31893,0,159892,2559
2019-10-01,1082.61,"1657.7662158",39398,0,149685,2343
2019-11-01,1083.85,"1661.27921565797",102175,1783,122354,1892
2019-12-01,1090.49,"1664.30507075927",25914,0,73912,1423
2020-01-01,1094.68,"1690.19981160006",20718,0,74264,739
2020-02-01,1096.27,"1693.66",2716,0,74280,1283
2020-03-01,1098.59,"1696.7",23196,19258,95230,2185
2020-04-01,1096.39,"1696.11085484296",3618,0,151299,2959
2020-05-01,1091.32,"1693.78",0,12620,179138,3425
2020-06-01,1087.07,"1681.1",0,87156,106836,3464
2020-07-01,1084.63,"1671.66997253111",0,112890,74704,3382
2020-08-01,1084.04,"1661.27981884528",5,121200,63124,2663
2020-09-01,1083.21,"1659.68",33393,3227,164966,2559
2020-10-01,1081.88,"1666.27",61538,23,162845,2343
2020-11-01,1081.07,"1674.31",65150,5290,122812,1892
2020-12-01,1083.72,"1677.0298820349",77761,0,141113,1423
2021-01-01,1085.95,"1690.19981160006",71569,0,121163,739
2021-02-01,1087.26,"1693.66",35134,0,110478,1283
2021-03-01,1084.39,"1696.7",33356,437,148394,2185
2021-04-01,1079.3,"1696.11085484296",2171,1292,162943,2959
2021-05-01,1073.5,"1693.78",262,16465,167634,3425
2021-06-01,1068.77,"1681.1",0,103469,89965,3464
2021-07-01,1067.65,"1671.66997253111",998,80046,57356,3382
2021-08-01,1067.96,"1661.27981884528",0,76446,50715,2663
2021-09-01,1067.68,"1659.68",608,8333,107550,2559
2021-10-01,1066.77,"1666.27",53433,0,139103,2343
2021-11-01,1064.97,"1674.31",66963,0,123440,1892
2021-12-01,1066.39,"1677.0298820349",17046,0,85832,1423
